"","CB62_E8","CB62_L4i","E32C1_E8","E32C1_L4i","E32C4_E8","E32C4_L4i","E32C6_E8","E32C6_L4i","E5C3_E8","E5C3_L4i","H9_E8","H9_L4i","RUES01_E8","RUES01_L4i","RUES02_E8","RUES02_L4i"
"ENSG00000160072",4546,7761,5533,5299,7950,14080,3475,9097,1821,6411,8137,2374,2914,7666,14497,14069
"ENSG00000279928",3,0,0,1,2,0,0,0,0,6,12,8,0,1,0,2
"ENSG00000228037",0,0,3,0,1,2,0,0,0,0,4,1,1,2,9,0
"ENSG00000142611",139,69,219,112,300,78,72,50,269,170,838,92,60,14,323,330
"ENSG00000284616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157911",1997,1248,5262,2614,8095,4070,2340,1997,1128,1988,4777,953,1644,1565,6777,4838
"ENSG00000269896",51,104,214,181,222,336,81,185,24,121,174,68,106,220,262,528
"ENSG00000228463",5,1,0,7,1,0,0,4,4,0,5,1,2,0,5,0
"ENSG00000260972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226374",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229280",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"ENSG00000142655",5085,2513,7563,5352,10900,6027,2789,4008,2224,2846,7070,2341,3081,2313,12534,7136
"ENSG00000232596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235054",0,0,0,0,9,0,0,0,1,1,1,0,0,0,0,0
"ENSG00000231510",2,10,1,15,3,19,0,17,1,13,0,1,6,10,6,21
"ENSG00000149527",22,11,105,56,169,29,62,38,13,40,132,31,31,48,98,145
"ENSG00000284739",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"ENSG00000171621",874,676,2334,1897,3157,1320,953,1144,638,1650,1511,582,676,888,3193,3126
"ENSG00000272235",0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,4
"ENSG00000284694",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000224387",0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,2
"ENSG00000142583",6,4,26,28,29,46,8,28,3,12,28,10,10,12,25,40
"ENSG00000284674",0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
"ENSG00000224338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116786",11159,5069,19729,9735,25771,12285,7138,7807,5184,5859,18579,3731,5615,5606,32699,13530
"ENSG00000287727",2,2,7,2,0,0,2,0,2,2,12,0,0,2,13,3
"ENSG00000286448",0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0
"ENSG00000284703",0,1,0,0,2,0,8,0,2,0,0,0,0,0,0,0
"ENSG00000226457",3,1,3,6,9,4,2,2,7,0,8,2,8,2,12,9
"ENSG00000173614",456,252,631,705,761,850,238,713,169,424,989,330,242,357,1528,1454
"ENSG00000215720",0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
"ENSG00000241326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233623",0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000162592",42,19,71,39,65,47,12,57,23,7,103,21,32,42,162,39
"ENSG00000204624",827,325,1426,967,1953,934,635,758,512,406,1342,583,547,389,3212,2012
"ENSG00000142606",97,67,146,117,70,58,13,82,58,28,88,49,0,6,0,8
"ENSG00000225931",2,0,6,0,0,0,0,2,1,0,1,1,0,0,1,2
"ENSG00000171729",1616,990,3046,2098,4289,2601,1033,1294,2074,1377,2409,703,1237,1042,3991,2886
"ENSG00000279457",192,77,204,154,265,234,132,243,82,121,342,121,110,105,527,275
"ENSG00000229393",0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,5
"ENSG00000037637",3325,3190,5952,5787,8139,4970,2464,4229,1591,2814,5447,2365,1904,3151,10343,9118
"ENSG00000287586",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ENSG00000159423",6367,6912,15066,17202,20301,17957,5235,12206,4927,5887,11633,5538,5625,8577,22875,23488
"ENSG00000227169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000011021",3157,1161,4714,3194,6691,3525,2105,3460,1977,1834,6325,1951,1834,1940,11200,7328
"ENSG00000142615",1,0,10,8,0,0,0,0,1,0,5,1,0,0,7,3
"ENSG00000215704",5,5,7,8,1,3,4,0,1,2,12,7,3,2,18,5
"ENSG00000157916",5966,5641,10109,10728,14548,14703,4519,8641,2612,5951,9666,3597,4178,6407,18658,16544
"ENSG00000157881",3971,1771,7477,4736,9613,3428,2039,3363,2175,1733,7973,2179,2774,1847,12162,6334
"ENSG00000238290",7,0,5,2,6,0,2,0,2,4,13,0,0,0,8,2
"ENSG00000225387",18,0,33,5,29,0,10,0,4,0,16,0,7,2,89,11
"ENSG00000048707",6395,2822,9911,7603,12820,8208,3544,6614,4574,3453,9054,3320,2583,5627,21885,11658
"ENSG00000225196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162444",221,224,581,364,808,257,156,393,145,60,283,214,238,155,463,499
"ENSG00000279625",2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180758",617,182,737,301,885,215,175,198,370,229,1350,380,227,277,1817,855
"ENSG00000184677",2571,2525,4778,4427,5651,6211,2166,3409,1845,3125,4473,1683,1302,3259,14105,8719
"ENSG00000288398",212,172,621,362,814,490,156,397,159,335,788,277,318,312,784,620
"ENSG00000224621",2,0,4,1,9,3,0,0,3,1,10,0,0,1,9,0
"ENSG00000285833",0,0,2,4,2,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000131697",1503,1008,3350,2641,4641,3333,1235,2574,1186,1955,4395,1243,1128,1518,6241,5203
"ENSG00000284692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000280222",4,0,11,4,3,0,2,0,2,0,14,0,2,10,28,7
"ENSG00000285945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000197921",4,18,39,20,171,52,18,22,14,56,120,56,18,7,12,302
"ENSG00000233755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233929",37,11,21,8,15,5,4,0,13,1,22,10,11,8,40,13
"ENSG00000271742",0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0
"ENSG00000234166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000055070",15855,12259,25135,22319,34733,27626,9810,17847,7027,12669,24526,7057,8311,11467,41715,28973
"ENSG00000175087",375,188,1177,551,1335,631,407,315,164,358,1141,224,328,231,2002,1013
"ENSG00000157191",3981,4043,7374,6849,10260,7314,2805,4638,1844,3859,7317,2375,2715,3018,11377,9856
"ENSG00000230035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225643",13,5,35,0,41,9,9,10,7,0,47,6,18,12,41,16
"ENSG00000284666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ENSG00000228943",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234397",0,2,6,2,8,0,0,1,0,0,2,4,0,0,4,2
"ENSG00000284309",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ENSG00000162511",43,11,45,13,49,14,18,4,14,8,118,8,16,1,87,37
"ENSG00000158014",39,19,68,10,131,78,27,12,35,13,27,0,20,8,52,31
"ENSG00000204138",6984,2873,11008,7953,13814,9542,4457,8130,3172,4256,12545,4425,3837,5110,20365,15038
"ENSG00000233419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ENSG00000235263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228176",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000231251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000142675",1828,856,3429,2033,4177,2269,1265,1655,847,649,3379,912,1525,1241,6742,3381
"ENSG00000197245",129,47,244,86,329,133,91,50,62,151,229,38,126,48,353,180
"ENSG00000130772",1867,1130,2799,2623,3718,2984,1067,2867,417,1401,2807,1201,1187,1457,2448,2350
"ENSG00000215899",2,2,2,3,6,0,0,6,0,0,2,4,0,0,6,6
"ENSG00000271398",2,0,6,7,10,4,1,18,0,6,2,2,2,0,4,1
"ENSG00000225011",5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000235069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237058",69,35,63,44,31,19,15,27,33,17,24,11,0,1,0,0
"ENSG00000233399",0,0,3,0,0,0,0,0,0,0,10,0,0,0,1,0
"ENSG00000090020",4306,2340,7460,3974,11290,6210,3605,3017,2483,2960,6956,1662,2487,3024,11423,7611
"ENSG00000157978",3182,2251,4988,4091,7537,5893,2108,4108,2049,2698,5277,1863,2022,2952,10903,6690
"ENSG00000130770",9590,6213,12657,12526,17917,13176,5075,10333,3502,5290,12501,4572,6074,6951,25792,18555
"ENSG00000229044",0,0,2,0,3,0,0,1,0,1,1,0,0,1,5,1
"ENSG00000162512",10758,3248,19898,7238,27737,7882,6966,4325,4708,5270,21742,3843,5335,4960,28078,15070
"ENSG00000158006",1960,798,3513,2233,5130,2519,1509,1759,891,1084,3674,831,1238,1032,5433,3255
"ENSG00000214812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"ENSG00000126698",19678,15343,31378,31424,42801,34105,11968,23090,8708,13718,27515,11200,11989,14029,54939,44534
"ENSG00000229447",14,0,41,19,23,7,4,10,2,17,34,12,12,5,20,14
"ENSG00000229607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000130766",9017,5696,8474,10978,14870,9416,3591,8265,2911,4576,12163,5466,2393,5557,18746,16576
"ENSG00000168528",6526,980,11166,4033,12295,3347,2815,2745,3093,1343,8953,1509,4143,1875,13680,5701
"ENSG00000196581",684,565,302,381,524,486,121,309,661,328,948,318,88,114,551,429
"ENSG00000169403",28,45,518,563,871,478,232,471,18,46,813,414,172,305,1697,1157
"ENSG00000084628",7776,5088,19314,8954,24244,7782,6051,3402,3892,5482,13721,3481,5747,5682,18181,15653
"ENSG00000060688",10984,8886,23321,20040,31611,24705,9339,14270,4744,8739,18640,5961,8538,9838,36413,28948
"ENSG00000171612",2388,1314,4555,2599,6815,3574,1727,2012,1150,1314,3871,846,1678,1742,5654,4457
"ENSG00000270927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000188910",124,80,116,82,106,104,33,76,56,19,159,34,66,86,234,120
"ENSG00000230523",0,0,0,8,2,8,0,0,0,0,8,0,2,1,2,12
"ENSG00000116138",2229,1577,4012,3824,5473,4375,1612,2613,1168,1798,4373,1831,1411,2106,7448,6689
"ENSG00000158161",2756,2232,6755,6627,8524,6358,2887,4963,2321,3237,7293,2784,2527,3457,13809,11371
"ENSG00000142684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000121769",1815,1826,3005,3876,4970,4382,1174,4038,1118,764,2015,1215,1208,1980,4979,4951
"ENSG00000142627",9377,1675,8308,3285,13072,4385,3044,2244,3277,5626,16975,1441,2316,1821,18219,5460
"ENSG00000284668",0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0
"ENSG00000233234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000142632",6562,2783,21524,6535,24520,6474,6503,3818,4540,2021,11588,1572,8078,4747,28150,10040
"ENSG00000234593",4,0,4,2,0,2,0,0,0,0,0,2,0,0,2,4
"ENSG00000270605",33,6,80,82,87,99,30,98,22,29,133,41,42,35,281,138
"ENSG00000189337",2199,1247,2823,2198,3090,2177,724,1782,1090,1467,3874,1264,961,1265,5153,4479
"ENSG00000235084",42,27,32,42,22,39,11,31,29,17,36,10,2,9,59,31
"ENSG00000235143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225478",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000028137",438,51,691,169,705,75,162,86,230,36,517,66,145,60,1234,242
"ENSG00000204464",1,0,11,3,2,1,0,1,0,0,3,0,1,3,14,0
"ENSG00000233372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284543",0,0,0,2,2,6,0,8,1,0,0,0,0,10,4,9
"ENSG00000130939",16052,17039,34113,30703,43742,31225,12926,23417,9417,13914,27920,12318,10161,15833,50725,45461
"ENSG00000175147",100,43,159,120,191,81,46,59,300,95,170,68,94,94,350,229
"ENSG00000127472",6,0,12,4,12,14,0,2,2,9,7,0,4,0,10,0
"ENSG00000060656",13318,8217,24913,18563,31926,18987,6908,13573,8327,7513,21142,8146,6701,8721,34212,25329
"ENSG00000163867",612,640,1195,1122,1552,1310,475,937,418,519,1297,556,481,620,2063,1908
"ENSG00000232768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000189280",78,28,30,46,96,70,26,120,26,16,85,62,70,58,88,129
"ENSG00000134698",2964,538,5134,1773,6736,1760,1523,1476,1739,1112,6374,1181,1775,1102,9980,4100
"ENSG00000134690",8739,5253,13832,10189,17447,11938,5473,7059,3653,5780,13205,3940,5087,4769,30377,14896
"ENSG00000272420",0,2,3,4,17,6,2,19,2,0,14,2,8,0,22,20
"ENSG00000132881",313,195,641,362,882,410,178,354,269,341,788,243,272,317,1093,652
"ENSG00000273274",431,196,1269,532,1627,502,429,475,375,273,1438,323,464,241,2120,1096
"ENSG00000272510",0,0,1,0,0,0,1,0,0,2,5,0,0,0,0,1
"ENSG00000236648",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
"ENSG00000232273",1,0,6,6,2,0,2,0,0,0,2,0,0,0,0,0
"ENSG00000009709",44,0,87,20,268,16,85,4,403,513,1227,8,71,12,145,322
"ENSG00000287396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223589",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000158008",207,91,391,190,525,175,104,143,112,107,529,224,168,150,663,569
"ENSG00000130940",700,245,1681,557,2010,337,565,347,541,348,1250,292,467,340,2399,1413
"ENSG00000116771",1038,526,1745,1208,2584,1721,706,1037,157,285,1477,311,655,841,2767,2174
"ENSG00000237301",8,6,18,15,29,13,13,4,14,18,27,1,6,12,16,19
"ENSG00000163879",2290,847,4358,2677,6445,2839,1608,1911,868,878,4220,945,1771,1207,4660,2884
"ENSG00000227527",12,10,22,28,56,40,9,20,6,18,27,4,9,16,51,54
"ENSG00000116954",1793,1640,2513,2360,3711,3370,1005,2261,922,1254,2103,911,845,1186,4112,3167
"ENSG00000228589",156,182,332,318,439,352,135,200,58,147,202,110,92,147,450,319
"ENSG00000163873",420,132,1691,305,1573,423,500,104,431,381,1107,164,537,319,962,903
"ENSG00000117215",0,0,0,0,0,0,0,6,2,0,0,0,0,0,4,0
"ENSG00000196449",2290,2010,3539,3691,5002,5682,1552,3106,897,1797,3473,1326,1540,2259,5813,4989
"ENSG00000230163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227538",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000044012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000179051",61412,49522,114024,84283,134517,120652,43037,63399,32054,39184,97467,25174,37974,52863,183209,123676
"ENSG00000215895",7,7,12,27,22,31,10,19,6,13,20,6,0,19,40,46
"ENSG00000284650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237329",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236948",0,0,6,0,3,0,0,0,0,0,5,0,2,0,2,0
"ENSG00000126067",18205,13686,25836,25049,39088,32379,11126,19981,7579,12141,23129,8623,10209,12458,43745,32787
"ENSG00000274944",0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1
"ENSG00000132906",2034,2922,4131,6668,5475,7639,1785,5666,1014,1952,3330,2319,1830,3553,8193,9032
"ENSG00000197312",5822,4620,11331,8515,14738,12645,4806,7043,3625,5091,11296,3622,2911,5404,20205,14953
"ENSG00000284748",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"ENSG00000272078",152,27,445,85,515,46,108,62,66,79,304,23,187,71,603,255
"ENSG00000173660",21145,27358,39597,66993,58697,66796,14591,53151,11861,22236,30769,21539,17275,26186,59186,85036
"ENSG00000224592",208,95,254,232,252,97,39,151,57,55,307,105,81,64,538,265
"ENSG00000233728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231606",0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215900",0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
"ENSG00000284632",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241014",2,1,8,9,14,7,4,1,1,3,23,7,5,1,34,6
"ENSG00000054118",27298,17618,48934,37012,62813,52300,21068,28530,12361,18395,43128,14697,15881,23160,97388,58712
"ENSG00000254553",1,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0
"ENSG00000284653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237749",8,6,19,18,16,32,22,24,2,2,4,6,12,10,6,14
"ENSG00000276747",8,3,0,0,4,4,0,0,1,0,2,0,0,4,5,4
"ENSG00000284705",30,6,53,8,68,2,16,0,10,6,66,6,22,4,87,44
"ENSG00000228776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000159339",46,2,21,22,27,4,8,24,8,11,101,14,19,12,116,38
"ENSG00000197982",3706,3340,6266,5569,9862,9390,2876,4805,1724,3727,6024,1857,2354,3556,9848,8257
"ENSG00000261781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000183317",60,73,130,201,165,141,88,208,30,66,154,57,54,184,265,419
"ENSG00000183386",4504,1861,6643,2989,11596,4068,2674,2373,2461,1801,6687,1298,3092,2008,13719,5735
"ENSG00000284743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000158315",91,6,139,45,259,47,36,49,20,12,126,25,60,12,178,102
"ENSG00000204084",3573,1827,5975,3763,7419,3842,1921,3104,1496,1471,6246,1907,1872,2237,10779,6568
"ENSG00000186973",28,10,50,45,48,19,6,52,11,11,145,15,23,12,121,46
"ENSG00000146463",11878,7965,24471,15698,34187,16769,8839,9547,6364,8507,22227,5796,7057,8843,38155,24364
"ENSG00000183520",5090,4329,8779,8250,12335,9998,3471,6494,2441,3465,7534,3006,3187,4188,13410,11694
"ENSG00000271741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214141",0,0,0,4,0,2,0,2,0,0,0,0,0,0,3,2
"ENSG00000142686",1294,1364,2925,2421,2607,2097,859,1401,604,1063,2073,595,982,1629,4178,4417
"ENSG00000224751",0,0,0,0,0,0,2,0,0,2,2,0,0,0,3,6
"ENSG00000117148",55,107,107,217,149,388,82,112,8,108,79,40,64,263,243,264
"ENSG00000230585",0,1,6,0,6,4,0,1,4,2,7,0,0,6,6,13
"ENSG00000117000",3468,3243,7606,9767,9710,7459,2982,5957,2274,2991,7120,4371,2372,3789,16348,13918
"ENSG00000284989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000092853",3634,3294,7376,5821,9676,9626,3221,5680,1720,3835,7334,2171,2525,4792,11680,11615
"ENSG00000255811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000134697",16377,9195,25424,21488,33391,27258,8527,17224,7403,9829,24557,8237,10413,13061,42043,29553
"ENSG00000187513",186,39,212,104,279,121,72,62,53,23,237,12,106,109,279,122
"ENSG00000238145",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSG00000225142",0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0
"ENSG00000230138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223390",0,2,0,0,0,1,0,2,0,2,3,0,0,0,1,0
"ENSG00000284720",9,8,94,75,152,34,41,12,7,12,57,21,35,25,126,100
"ENSG00000225671",0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
"ENSG00000116151",439,421,982,848,828,943,297,615,274,347,1015,303,369,481,1321,1583
"ENSG00000226147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006555",124,78,307,132,301,107,85,66,104,44,203,84,114,70,533,220
"ENSG00000236111",4,4,2,0,2,4,4,0,0,2,6,0,0,0,0,2
"ENSG00000066056",529,87,704,295,796,331,374,190,160,44,1065,96,380,456,2550,483
"ENSG00000214114",2105,1316,3589,2983,4828,3691,1454,2408,914,1386,3316,969,1471,1498,5063,4198
"ENSG00000116544",1959,1998,3345,4021,4796,4967,1467,3747,1215,664,2112,1225,1360,3643,5609,5094
"ENSG00000231900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236723",6,7,5,8,8,16,3,10,0,6,10,0,2,4,26,3
"ENSG00000232467",0,0,9,0,0,0,0,0,0,0,0,0,0,2,4,4
"ENSG00000117016",7567,1649,15668,4622,19476,2644,3684,2398,3197,1488,14854,2930,4035,2588,22147,7999
"ENSG00000121310",1383,572,1810,1517,1894,1514,280,1746,1289,616,2692,963,1047,902,5448,2516
"ENSG00000169213",15623,12605,26052,16793,34216,20214,7690,13510,11338,7356,20857,8094,6336,9504,32141,29979
"ENSG00000163866",3876,3022,6210,5802,8014,6662,2323,4372,1872,2881,5928,1750,2431,3044,9746,7670
"ENSG00000225779",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"ENSG00000284601",2,0,1,0,0,2,0,0,0,0,0,2,0,0,2,0
"ENSG00000237130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143001",102,15,46,25,123,17,29,20,25,4,42,15,27,49,213,41
"ENSG00000227416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232335",0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
"ENSG00000260971",3,0,5,3,8,5,7,7,2,0,6,0,3,2,11,2
"ENSG00000259832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284696",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238242",0,0,0,2,0,0,0,0,0,4,4,0,0,0,2,1
"ENSG00000285839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237290",28,0,27,4,7,0,2,1,7,0,19,4,1,10,20,5
"ENSG00000232762",2,0,9,1,17,11,3,2,0,1,11,0,5,2,11,1
"ENSG00000117419",8644,5975,17201,11270,25573,15673,7293,9125,4029,5966,13671,3779,7081,7267,25600,19502
"ENSG00000162384",4042,3212,7921,7178,10923,8454,2741,5559,1790,3195,7783,2812,3669,3269,12771,11386
"ENSG00000162391",25,13,35,18,64,28,16,29,9,23,54,22,6,23,91,71
"ENSG00000174348",39,27,122,69,82,48,17,72,14,30,81,23,30,19,120,120
"ENSG00000117859",11730,8041,20900,18560,29378,20024,7185,13271,5695,7097,19669,7613,7392,9835,32987,29107
"ENSG00000228121",3,0,0,2,6,4,2,4,0,0,0,0,0,4,5,6
"ENSG00000253313",1296,688,1652,1571,2177,1492,627,1496,784,293,1279,483,630,906,3604,1700
"ENSG00000162396",2116,1420,2898,4206,4162,4047,1061,3363,927,1060,3037,1638,1381,1954,6355,5298
"ENSG00000203995",308,292,442,775,558,748,104,1122,378,279,406,542,168,515,852,1114
"ENSG00000284686",5,6,2,6,0,5,4,10,5,4,6,0,8,6,18,16
"ENSG00000162378",4483,2557,7034,4030,10452,5091,2371,2953,2754,2784,8418,2368,2056,2646,13429,6963
"ENSG00000233079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259818",0,0,4,12,18,6,4,10,2,4,1,0,2,2,26,12
"ENSG00000229444",0,0,0,0,1,0,0,0,0,2,0,0,0,4,3,0
"ENSG00000240563",71377,56910,91287,79751,129783,158168,48931,75598,41459,44550,84301,19781,32862,62409,155771,110740
"ENSG00000234318",3,3,1,2,0,7,1,6,0,3,0,0,0,6,4,0
"ENSG00000284773",40,6,58,8,35,8,8,13,6,4,52,10,11,8,79,10
"ENSG00000234481",2,0,0,1,2,0,0,0,0,0,3,0,0,0,0,2
"ENSG00000117862",2559,1305,3285,3414,5346,3726,1410,2366,1015,1208,3145,1421,1222,1686,5236,4265
"ENSG00000235612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228369",0,0,4,1,8,0,0,3,0,0,2,0,1,0,1,9
"ENSG00000183431",23185,22550,41127,43036,57878,58107,18264,31890,9033,20089,32959,13797,14499,23932,65879,65466
"ENSG00000227485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224609",31,11,53,42,58,68,18,31,3,10,56,8,21,39,80,74
"ENSG00000235545",30,9,74,21,85,37,29,19,24,33,118,13,20,24,98,72
"ENSG00000236646",0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
"ENSG00000232198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238063",0,0,0,6,0,0,0,0,0,0,1,5,4,0,3,3
"ENSG00000227104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243725",283,196,543,446,789,467,197,294,168,214,483,155,162,231,838,576
"ENSG00000171872",1,8,0,0,2,10,0,18,0,38,4,0,0,4,5,16
"ENSG00000162407",6476,4229,10970,8567,13555,11213,3367,6396,4597,3939,6127,3243,3723,5610,18788,14058
"ENSG00000285079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169218",14,16,223,48,433,72,73,34,12,256,464,30,84,34,77,226
"ENSG00000163877",1940,1538,4019,2963,5212,3522,1597,1997,928,1220,3281,1280,1256,1414,6187,4448
"ENSG00000228929",216,156,374,422,461,376,135,244,95,96,326,170,164,119,475,432
"ENSG00000224570",2,0,4,0,4,7,0,6,0,2,2,0,0,0,0,2
"ENSG00000224980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278967",0,0,2,2,4,0,0,4,0,1,7,0,0,0,5,0
"ENSG00000157184",3225,1956,5050,3591,7479,4703,2127,2767,1322,1579,4927,1610,1702,2569,10278,6706
"ENSG00000198815",5802,2875,9666,6638,12137,8056,3894,5613,2547,3028,10986,3205,3212,3698,17999,11102
"ENSG00000134744",5674,3897,11091,7923,14996,9480,4173,6783,3828,3871,11717,3880,3548,4539,18879,13871
"ENSG00000233910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283039",21,17,9,34,16,28,4,109,0,0,38,22,6,15,23,47
